year,month,period,category,monthly_amount,transaction_count
2024,1,2024-01,Alimentación,247590.0,8
2024,1,2024-01,Entretenimiento,162226.0,4
2024,1,2024-01,Otros gastos,40325.0,2
2024,1,2024-01,Pago de deudas y créditos,117202.0,1
2024,1,2024-01,Salud,70270.0,1
2024,1,2024-01,Servicios básicos,103258.0,1
2024,1,2024-01,Transporte,143009.0,7
2024,1,2024-01,Vivienda,432988.0,1
2024,2,2024-02,Alimentación,205965.0,8
2024,2,2024-02,Entretenimiento,36132.0,1
2024,2,2024-02,Pago de deudas y créditos,125924.0,1
2024,2,2024-02,Servicios básicos,98630.0,1
2024,2,2024-02,Transporte,133036.0,6
2024,2,2024-02,Vivienda,406640.0,1
2024,3,2024-03,Alimentación,384493.0,12
2024,3,2024-03,Educación,75515.0,1
2024,3,2024-03,Entretenimiento,169349.0,4
2024,3,2024-03,Mascotas,30020.0,1
2024,3,2024-03,Otros gastos,45689.0,1
2024,3,2024-03,Pago de deudas y créditos,108850.0,1
2024,3,2024-03,Salud,66938.0,1
2024,3,2024-03,Servicios básicos,90591.0,1
2024,3,2024-03,Transporte,129418.0,8
2024,3,2024-03,Vivienda,431304.0,1
2024,4,2024-04,Alimentación,303095.0,10
2024,4,2024-04,Educación,93782.0,1
2024,4,2024-04,Entretenimiento,145105.0,4
2024,4,2024-04,Mascotas,43588.0,1
2024,4,2024-04,Otros gastos,34587.0,1
2024,4,2024-04,Pago de deudas y créditos,138134.0,1
2024,4,2024-04,Salud,40013.0,1
2024,4,2024-04,Servicios básicos,108916.0,1
2024,4,2024-04,Transporte,118705.0,6
2024,4,2024-04,Vivienda,409105.0,1
2024,5,2024-05,Alimentación,445775.0,13
2024,5,2024-05,Entretenimiento,136183.0,4
2024,5,2024-05,Pago de deudas y créditos,128720.0,1
2024,5,2024-05,Salud,59511.0,1
2024,5,2024-05,Servicios básicos,90165.0,1
2024,5,2024-05,Transporte,126514.0,6
2024,5,2024-05,Vivienda,404127.0,1
2024,6,2024-06,Alimentación,403817.0,13
2024,6,2024-06,Entretenimiento,113695.0,3
2024,6,2024-06,Mascotas,37853.0,1
2024,6,2024-06,Pago de deudas y créditos,143600.0,1
2024,6,2024-06,Salud,69333.0,1
2024,6,2024-06,Servicios básicos,71493.0,1
2024,6,2024-06,Transporte,103433.0,6
2024,6,2024-06,Vivienda,425833.0,1
2024,7,2024-07,Alimentación,268255.0,9
2024,7,2024-07,Educación,84541.0,1
2024,7,2024-07,Entretenimiento,50013.0,1
2024,7,2024-07,Mascotas,33858.0,1
2024,7,2024-07,Otros gastos,33672.0,1
2024,7,2024-07,Pago de deudas y créditos,141984.0,1
2024,7,2024-07,Servicios básicos,76018.0,1
2024,7,2024-07,Transporte,126790.0,7
2024,7,2024-07,Vivienda,408318.0,1
2024,8,2024-08,Alimentación,313686.0,11
2024,8,2024-08,Educación,92332.0,1
2024,8,2024-08,Entretenimiento,83878.0,2
2024,8,2024-08,Mascotas,27575.0,1
2024,8,2024-08,Otros gastos,25776.0,1
2024,8,2024-08,Pago de deudas y créditos,139430.0,1
2024,8,2024-08,Servicios básicos,84271.0,1
2024,8,2024-08,Transporte,165588.0,9
2024,8,2024-08,Vivienda,423549.0,1
2024,9,2024-09,Alimentación,475355.0,13
2024,9,2024-09,Entretenimiento,86035.0,2
2024,9,2024-09,Pago de deudas y créditos,117222.0,1
2024,9,2024-09,Salud,60745.0,1
2024,9,2024-09,Servicios básicos,103239.0,1
2024,9,2024-09,Transporte,177569.0,9
