date,category,amount
2024-01-01,Otros gastos,18000
2024-01-03,Entretenimiento,51808
2024-01-04,Alimentación,32785
2024-01-05,Vivienda,432988
2024-01-09,Transporte,19318
2024-01-10,Entretenimiento,25384
2024-01-10,Entretenimiento,50070
2024-01-10,Servicios básicos,103258
2024-01-12,Transporte,6239
2024-01-13,Transporte,13798
2024-01-14,Alimentación,44029
2024-01-15,Alimentación,17089
2024-01-15,Otros gastos,22325
2024-01-15,Pago de deudas y créditos,117202
2024-01-18,Alimentación,34038
2024-01-19,Alimentación,33705
2024-01-19,Salud,70270
2024-01-22,Transporte,19527
2024-01-24,Alimentación,34360
2024-01-24,Entretenimiento,34964
2024-01-25,Alimentación,20909
2024-01-26,Transporte,37118
2024-01-27,Transporte,27265
2024-01-29,Alimentación,30675
2024-01-29,Transporte,19744
2024-02-05,Transporte,24030
2024-02-05,Vivienda,406640
2024-02-08,Alimentación,29972
2024-02-09,Alimentación,11964
2024-02-10,Servicios básicos,98630
2024-02-14,Alimentación,26577
2024-02-15,Pago de deudas y créditos,125924
2024-02-16,Alimentación,13994
2024-02-16,Transporte,25693
2024-02-17,Alimentación,41904
2024-02-20,Alimentación,17023
2024-02-21,Entretenimiento,36132
2024-02-22,Transporte,21833
2024-02-27,Transporte,18847
2024-02-28,Alimentación,33130
2024-02-29,Alimentación,31401
2024-02-29,Transporte,14701
2024-02-29,Transporte,27932
2024-03-05,Vivienda,431304
2024-03-09,Alimentación,35499
2024-03-09,Transporte,15793
2024-03-10,Servicios básicos,90591
2024-03-10,Transporte,18192
2024-03-11,Transporte,17655
2024-03-12,Entretenimiento,39332
2024-03-14,Entretenimiento,54075
2024-03-14,Transporte,22366
2024-03-15,Pago de deudas y créditos,108850
2024-03-15,Transporte,3981
2024-03-15,Transporte,8418
2024-03-16,Alimentación,16981
2024-03-16,Alimentación,28028
2024-03-16,Alimentación,36632
2024-03-16,Entretenimiento,45134
2024-03-18,Transporte,21129
2024-03-19,Educación,75515
2024-03-20,Alimentación,32299
2024-03-20,Otros gastos,45689
2024-03-23,Alimentación,28171
2024-03-23,Transporte,21884
2024-03-26,Alimentación,23590
2024-03-26,Alimentación,50482
2024-03-27,Alimentación,27058
2024-03-27,Mascotas,30020
2024-03-29,Alimentación,20891
2024-03-29,Alimentación,37119
2024-03-30,Alimentación,47743
2024-03-30,Salud,66938
2024-03-31,Entretenimiento,30808
2024-04-01,Alimentación,20856
2024-04-01,Entretenimiento,20490
2024-04-01,Entretenimiento,54099
2024-04-01,Transporte,15060
2024-04-03,Alimentación,39591
2024-04-04,Transporte,18502
2024-04-05,Alimentación,22232
2024-04-05,Alimentación,25734
2024-04-05,Alimentación,28759
2024-04-05,Transporte,24805
2024-04-05,Vivienda,409105
2024-04-10,Servicios básicos,108916
2024-04-11,Salud,40013
2024-04-12,Entretenimiento,38463
2024-04-14,Alimentación,24503
2024-04-15,Pago de deudas y créditos,138134
2024-04-19,Otros gastos,34587
2024-04-19,Transporte,14835
2024-04-20,Alimentación,29109
2024-04-21,Entretenimiento,32053
2024-04-24,Alimentación,41961
2024-04-25,Alimentación,27379
2024-04-26,Mascotas,43588
2024-04-26,Transporte,16869
2024-04-30,Alimentación,42971
2024-04-30,Educación,93782
2024-04-30,Transporte,28634
2024-05-01,Alimentación,45135
2024-05-01,Salud,59511
2024-05-05,Vivienda,404127
2024-05-06,Alimentación,9583
2024-05-06,Transporte,21427
2024-05-07,Alimentación,40232
2024-05-10,Servicios básicos,90165
2024-05-12,Transporte,23505
2024-05-14,Transporte,14134
2024-05-15,Pago de deudas y créditos,128720
2024-05-16,Entretenimiento,43494
2024-05-17,Entretenimiento,18891
2024-05-17,Entretenimiento,32951
2024-05-18,Alimentación,34412
2024-05-21,Alimentación,23634
2024-05-21,Alimentación,35843
2024-05-22,Alimentación,29617
2024-05-23,Alimentación,42406
2024-05-25,Alimentación,37234
2024-05-25,Transporte,18406
2024-05-26,Alimentación,39614
2024-05-26,Entretenimiento,40847
2024-05-27,Transporte,26015
2024-05-28,Transporte,23027
2024-05-29,Alimentación,37342
2024-05-29,Alimentación,40020
2024-05-30,Alimentación,30703
2024-06-01,Entretenimiento,33964
2024-06-04,Alimentación,26843
2024-06-05,Alimentación,19624
2024-06-05,Vivienda,425833
2024-06-06,Alimentación,28026
2024-06-06,Alimentación,33926
2024-06-06,Transporte,14755
2024-06-08,Entretenimiento,39697
2024-06-09,Alimentación,34615
2024-06-09,Transporte,14121
2024-06-10,Alimentación,17416
2024-06-10,Servicios básicos,71493
2024-06-11,Transporte,21597
2024-06-12,Alimentación,34498
2024-06-14,Alimentación,32798
2024-06-14,Entretenimiento,40034
2024-06-14,Transporte,18853
2024-06-15,Mascotas,37853
2024-06-15,Pago de deudas y créditos,143600
2024-06-18,Alimentación,43013
2024-06-18,Alimentación,44257
2024-06-19,Alimentación,32114
2024-06-19,Transporte,13798
2024-06-21,Transporte,20309
2024-06-26,Alimentación,23817
2024-06-28,Alimentación,32870
2024-06-30,Salud,69333
2024-07-01,Alimentación,37053
2024-07-04,Alimentación,37818
2024-07-05,Vivienda,408318
2024-07-06,Entretenimiento,50013
2024-07-10,Servicios básicos,76018
2024-07-12,Alimentación,39477
2024-07-12,Educación,84541
2024-07-14,Otros gastos,33672
2024-07-14,Transporte,16084
2024-07-15,Pago de deudas y créditos,141984
2024-07-18,Transporte,13565
2024-07-20,Alimentación,28427
2024-07-21,Mascotas,33858
2024-07-22,Alimentación,25047
2024-07-24,Transporte,14775
2024-07-25,Transporte,14329
2024-07-25,Transporte,19944
2024-07-27,Alimentación,31926
2024-07-29,Alimentación,7651
2024-07-29,Alimentación,45339
2024-07-30,Alimentación,15517
2024-07-31,Transporte,17328
2024-07-31,Transporte,30765
2024-08-01,Transporte,15384
2024-08-02,Transporte,17143
2024-08-05,Alimentación,12253
2024-08-05,Alimentación,25617
2024-08-05,Vivienda,423549
2024-08-06,Alimentación,23887
2024-08-06,Alimentación,29276
2024-08-08,Transporte,25703
2024-08-10,Servicios básicos,84271
2024-08-13,Entretenimiento,62320
2024-08-15,Pago de deudas y créditos,139430
2024-08-16,Alimentación,33631
2024-08-17,Transporte,10022
2024-08-18,Alimentación,18743
2024-08-18,Alimentación,32224
2024-08-18,Alimentación,46078
2024-08-18,Otros gastos,25776
2024-08-21,Transporte,27009
2024-08-22,Alimentación,34541
2024-08-22,Transporte,18073
2024-08-23,Entretenimiento,21558
2024-08-24,Transporte,27457
2024-08-25,Transporte,18189
